Unicode,Emoji,Description,Year,Nature,Annotations
U+1F600,😀,grinning face,2012,emoji,face; grin; person
U+1F601,😁,grinning face with smiling eyes,2010,emoji,eye; face; grin; person; smile
U+1F602,😂,face with tears of joy,2010,emoji,face; joy; person; tear
U+1F603,😃,smiling face with open mouth,2010,emoji,face; mouth; open; person; smile
U+1F604,😄,smiling face with open mouth and smiling eyes,2010,emoji,eye; face; mouth; open; person; smile
U+1F605,😅,smiling face with open mouth and cold sweat,2010,emoji,cold; face; open; person; smile; sweat
U+1F606,😆,smiling face with open mouth and tightly-closed eyes,2010,emoji,face; laugh; mouth; open; person; satisfied; smile
U+1F609,😉,winking face,2010,emoji,face; person; wink
U+1F60A,😊,smiling face with smiling eyes,2010,emoji,blush; eye; face; person; smile
U+1F60B,😋,face savouring delicious food,2010,emoji,delicious; face; food; person; savouring; smile; um; yum
U+1F60E,😎,smiling face with sunglasses,2010,emoji,bright; cool; eye; eyewear; face; glasses; person; smile; sun;sunglasses; weather
U+1F60D,😍,smiling face with heart-shaped eyes,2010,emoji,eye; face; heart; love; person; smile
U+1F618,😘,face throwing a kiss,2010,emoji,face; heart; kiss; person
U+1F617,😗,kissing face,2012,emoji,face; kiss; person
U+1F619,😙,kissing face with smiling eyes,2012,emoji,eye; face; kiss; person; smile
U+1F61A,😚,kissing face with closed eyes,2010,emoji,closed; eye; face; kiss; person
U+263A,☺️,white smiling face,1995,text,face; outlined; person; relaxed; smile
U+1F607,😇,smiling face with halo,2010,emoji,angel; face; fairy tale; fantasy; halo; innocent; person; smile
U+1F610,😐,neutral face,2010,emoji,deadpan; face; neutral; person
U+1F611,😑,expressionless face,2012,emoji,expressionless; face; inexpressive; person; unexpressive
U+1F636,😶,face without mouth,2010,emoji,face; mouth; person; quiet; silent
U+1F60F,😏,smirking face,2010,emoji,face; person; smirk
U+1F623,😣,persevering face,2010,emoji,face; persevere; person
U+1F625,😥,disappointed but relieved face,2010,emoji,disappointed; face; person; relieved; whew
U+1F62E,😮,face with open mouth,2012,emoji,face; mouth; open; person; sympathy
U+1F62F,😯,hushed face,2012,emoji,face; hushed; person; stunned; surprised
U+1F62A,😪,sleepy face,2010,emoji,face; person; sleep
U+1F62B,😫,tired face,2010,emoji,face; person; tired
U+1F634,😴,sleeping face,2012,emoji,face; person; sleep; zzz
U+1F60C,😌,relieved face,2010,emoji,face; person; relieved
U+1F61B,😛,face with stuck-out tongue,2012,emoji,face; person; tongue
U+1F61C,😜,face with stuck-out tongue and winking eye,2010,emoji,eye; face; joke; person; tongue; wink
U+1F61D,😝,face with stuck-out tongue and tightly-closed eyes,2010,emoji,eye; face; horrible; person; taste; tongue
U+1F612,😒,unamused face,2010,emoji,face; person; unamused; unhappy
U+1F613,😓,face with cold sweat,2010,emoji,cold; face; person; sweat
U+1F614,😔,pensive face,2010,emoji,dejected; face; pensive; person
U+1F615,😕,confused face,2012,emoji,confused; face; person
U+1F616,😖,confounded face,2010,emoji,confounded; face; person
U+1F637,😷,face with medical mask,2010,emoji,cold; doctor; face; mask; medicine; person; sick
U+1F632,😲,astonished face,2010,emoji,astonished; face; person; shocked; totally
U+1F61E,😞,disappointed face,2010,emoji,disappointed; face; person
U+1F61F,😟,worried face,2012,emoji,face; person; worried
U+1F624,😤,face with look of triumph,2010,emoji,face; person; triumph; won
U+1F622,😢,crying face,2010,emoji,cry; face; person; sad; tear
U+1F62D,😭,loudly crying face,2010,emoji,cry; face; person; sad; sob; tear
U+1F626,😦,frowning face with open mouth,2012,emoji,face; frown; mouth; open; person
U+1F627,😧,anguished face,2012,emoji,anguished; face; person
U+1F628,😨,fearful face,2010,emoji,face; fear; fearful; person; scared
U+1F629,😩,weary face,2010,emoji,face; person; tired; weary
U+1F62C,😬,grimacing face,2012,emoji,face; grimace; person
U+1F630,😰,face with open mouth and cold sweat,2010,emoji,blue; cold; face; mouth; open; person; rushed; sweat
U+1F631,😱,face screaming in fear,2010,emoji,face; fear; fearful; munch; person; scared; scream
U+1F633,😳,flushed face,2010,emoji,dazed; face; flushed; person
U+1F635,😵,dizzy face,2010,emoji,dizzy; face; person
U+1F621,😡,pouting face,2010,emoji,angry; face; mad; person; pouting; rage; red
U+1F620,😠,angry face,2010,emoji,angry; face; mad; person
