Unicode,EmojiGlyph,Description,Year,Nature,UsageNumber,UsagePercentage,Sentiment,AverageSentiment,Annotations,Color
U+1F6BB,🚻,restroom,2010,emoji,148446,0.00108387440047793,0.0,0.0,lavatory; restroom; sign; symbol; travel; wc,Gray
U+1F6BC,🚼,orange baby symbol,2010,emoji,2014221,0.0147067794268963,0.666666666666667,0.0098045196179309,baby; changing; sign; symbol; travel,Orange
U+1F6BE,🚾,water closet,2010,emoji,298824,0.00218185524600472,0.333333333333333,0.000727285082001573,closet; lavatory; place; restroom; sign; symbol; travel; water; wc,Gray
U+1F6C2,🛂,passport control,2010,emoji,40602,0.000296454390203878,0.0,0.0,control; passport; place; sign; symbol; travel,Gray
U+1F6C3,🛃,customs,2010,emoji,266157,0.00194333804082295,0.0,0.0,customs; place; sign; symbol; travel,Gray
U+1F6C4,🛄,baggage claim,2010,emoji,31445,0.000229594805673635,0.0,0.0,baggage; claim; place; sign; symbol; travel,Gray
U+1F6C5,🛅,left luggage,2010,emoji,3458979,0.0252556403668051,0.0,0.0,baggage; left luggage; locker; luggage; place; sign; symbol; travel,Gray
U+26A0,⚠️,warning sign,2003,text,4831495,0.0352770283236807,-0.0681818181818182,0.0,place; symbol; travel; warning,Orange
U+1F6B8,🚸,children crossing,2010,emoji,136375,0.000995738324812912,0.0,0.0,child; crossing; pedestrian; place; sign; symbol; traffic; travel,Orange
U+26D4,⛔️,no entry,2009,emoji,893156,0.00652135405489717,0.507692307692308,0.00331084128940933,entry; forbidden; no; not; prohibited; symbol; traffic; travel,Red
U+1F6AB,🚫,no entry sign,2010,emoji,3864600,0.0282172709812794,-0.454545454545454,0.0,entry; forbidden; no; not; prohibited; symbol; travel,Red
U+1F6B3,🚳,no bicycles,2010,emoji,33337,0.000243409191818794,1.0,0.000243409191818794,bicycle; bike; forbidden; no; not; place; prohibited; sign; sport; symbol; travel; vehicle,Brown
U+1F6AD,🚭,no smoking symbol,2010,emoji,263417,0.00192333200591929,1.0,0.00192333200591929,forbidden; no; not; prohibited; sign; smoking; symbol; travel,Gray
U+1F6AF,🚯,do not litter symbol,2010,emoji,64573,0.000471477989720581,0.0,0.0,forbidden; litter; no; not; prohibited; sign; symbol; travel,Brown
U+1F6B1,🚱,non-potable water symbol,2010,emoji,37175,0.000271432243629111,0.0,0.0,drink; forbidden; no; not; potable; prohibited; sign; symbol; travel; water,Brown
U+1F6B7,🚷,no pedestrians,2010,emoji,208213,0.00152026151291858,0.0,0.0,forbidden; no; not; pedestrian; place; prohibited; sign; symbol; travel,Brown
U+2B06,⬆️,upwards black arrow,2003,text,1862491,0.0135989269904244,0.307692307692308,0.00418428522782289,arrow; cardinal; direction; north; symbol,Gray
U+2197,↗️,north east arrow,1995,text,2245273,0.0163937992723568,0.0,0.0,arrow; direction; intercardinal; northeast; symbol,Gray
U+27A1,➡️,black rightwards arrow,1995,text,25611797,0.187003833842188,0.148648648648649,0.0277978671927577,arrow; cardinal; direction; east; symbol,Gray
U+2198,↘️,south east arrow,1995,text,2269916,0.0165737294614557,0.0,0.0,arrow; direction; intercardinal; southeast; symbol,Gray
U+2B07,⬇️,downwards black arrow,2003,text,3529208,0.0257684154855093,0.466666666666667,0.0120252605599043,arrow; cardinal; direction; down; south; symbol,Gray
U+2199,↙️,south west arrow,1995,text,2025673,0.0147903958910266,1.0,0.0147903958910266,arrow; direction; intercardinal; southwest; symbol,Gray
U+2B05,⬅️,leftwards black arrow,2003,text,46776665,0.341538537469733,0.583333333333333,0.199230813524011,arrow; cardinal; direction; symbol; west,Gray
U+2196,↖️,north west arrow,1995,text,1797997,0.0131280258170386,0.0,0.0,arrow; direction; intercardinal; northwest; symbol,Gray
U+2195,↕️,up down arrow,1995,text,1483890,0.0108345821654015,0.0,0.0,arrow; symbol,Gray
U+2194,↔️,left right arrow,1995,text,1779054,0.0129897140217174,0.0,0.0,arrow; symbol,Gray
U+21A9,↩️,leftwards arrow with hook,1995,text,1067869,0.00779701623596436,1.0,0.00779701623596436,arrow; symbol,Gray
U+21AA,↪️,rightwards arrow with hook,1995,text,1394200,0.0101797130885731,0.125,0.00127246413607164,arrow; symbol,Gray
U+2934,⤴️,arrow pointing rightwards then curving upwards,2002,text,892166,0.00651412559703052,0.0,0.0,arrow; symbol,Gray
U+2935,⤵️,arrow pointing rightwards then curving downwards,2002,text,1138164,0.00831027325185968,0.0,0.0,arrow; down; symbol,Gray
U+1F503,🔃,clockwise downwards and upwards open circle arrows,2010,emoji,1324622,0.00967169122852671,0.0,0.0,arrow; clockwise; reload; symbol,Black
U+1F504,🔄,anticlockwise downwards and upwards open circle arrows,2010,emoji,1225259,0.00894619500731031,0.0,0.0,anticlockwise; arrow; counterclockwise; symbol; withershins,Gray
U+1F519,🔙,back with leftwards arrow above,2010,emoji,2826444,0.0206372034004583,0.217391304347826,0.00448634856531703,arrow; back; symbol,Black
U+1F51A,🔚,end with leftwards arrow above,2010,emoji,490697,0.00358281069676056,0.444444444444444,0.00159236030967136,arrow; end; symbol,Black
U+1F51B,🔛,on with exclamation mark with left right arrow above,2010,emoji,613174,0.00447707315548182,0.571428571428571,0.00255832751741818,arrow; mark; on; symbol,Black
U+1F51C,🔜,soon with rightwards arrow above,2010,emoji,1447754,0.0105707361517961,0.3,0.00317122084553883,arrow; soon; symbol,Black
U+1F51D,🔝,top with upwards arrow above,2010,emoji,5057527,0.0369273947767265,0.478547854785479,0.0176715255532189,arrow; symbol; top; up,Black
U+1F52F,🔯,six pointed star with middle dot,2010,emoji,495219,0.0036158279558242,1.0,0.0036158279558242,fortune; object; star; symbol,Gray
U+267B,♻️,black universal recycling symbol,2002,text,104430468,0.762496199932161,0.5625,0.428904112461841,recycle; sign; symbol,Green
U+1F4DB,📛,name badge,2010,emoji,985233,0.00719365174680403,0.0,0.0,badge; name; object; office,Red
U+1F530,🔰,japanese symbol for beginner,2010,emoji,672501,0.00491024761998173,0.0,0.0,beginner; chevron; green; japanese; leaf; object; tool; yellow,Green
U+1F531,🔱,trident emblem,2010,emoji,1482488,0.0108243455008267,0.0833333333333333,0.00090202879173556,anchor; emblem; object; ship; symbol; tool; trident,Yellow
U+2B55,⭕️,heavy large circle,2009,emoji,5363309,0.0391600536690304,0.5,0.0195800268345152,circle; o; symbol; travel,Red
U+2705,✅,white heavy check mark,2010,emoji,29564948,0.215867657523013,0.431372549019608,0.0931193816765937,check; mark; sign; symbol,Green
U+2611,☑️,ballot box with check,1995,text,17434055,0.127294274760009,0.103703703703704,0.0132008877528898,ballot; box; check; sign; symbol,Gray
U+2714,✔️,heavy check mark,1995,text,42930652,0.313456978959531,0.273092369477912,0.0856027091134463,check; mark; sign; symbol,Black
U+2716,✖️,heavy multiplication x,1995,text,11972940,0.0874200932625885,0.316062176165803,0.0276301849171912,cancel; multiplication; multiply; sign; symbol; x,Black
U+274C,❌,cross mark,2010,emoji,14556380,0.10628300961716,0.285714285714286,0.0303665741763314,cancel; mark; multiplication; multiply; sign; symbol; x,Red
U+274E,❎,negative squared cross mark,2010,emoji,709296,0.00517890530402566,-1.0,0.0,mark; sign; square; symbol,Green
U+2795,➕,heavy plus sign,2010,emoji,1070072,0.00781310138008581,0.580645161290323,0.00453663951101757,math; plus; sign; symbol,Black
U+2796,➖,heavy minus sign,2010,emoji,847984,0.00619153193494521,-1.0,0.0,math; minus; sign; symbol,Black
U+2797,➗,heavy division sign,2010,emoji,59312,0.000433064942411024,-0.5,0.0,division; math; sign; symbol,Black
U+27B0,➰,curly loop,2010,emoji,1205944,0.00880516706418466,-0.125,0.0,curl; loop; sign; symbol,Black
U+27BF,➿,double curly loop,2010,emoji,573465,0.00418713898030311,0.0,0.0,curl; double; loop; sign; symbol,Gray
U+303D,〽️,part alternation mark,2002,text,764777,0.00558399830493452,0.0,0.0,mark; part; sign; symbol,Orange
U+2733,✳️,eight spoked asterisk,1995,text,2025028,0.0147856864412043,0.0,0.0,asterisk; sign; symbol,Green
U+2734,✴️,eight pointed black star,1995,text,1187942,0.00867372595457306,0.666666666666667,0.00578248396971537,sign; star; symbol,Orange
U+2747,❇️,sparkle,1995,text,896621,0.00654665365743046,0.666666666666667,0.0043644357716203,sign; sparkle; symbol,Green
U+1F4B1,💱,currency exchange,2010,emoji,167136,0.00122033892323322,0.0,0.0,bank; currency; exchange; money; object; office; symbol,Black
U+1F4B2,💲,heavy dollar sign,2010,emoji,1008546,0.00736387097735482,0.266666666666667,0.00196369892729462,currency; dollar; money; object; office; symbol,Black
U+203C,‼️,double exclamation mark,1995,text,13016814,0.095041910663694,0.0,0.0,bangbang; exclamation; mark; punctuation; symbol; word,Red
U+2049,⁉️,exclamation question mark,2000,text,1372701,0.0100227387293053,0.0,0.0,exclamation; interrobang; mark; punctuation; question; symbol; word,Red
U+2753,❓,black question mark ornament,2010,emoji,2799443,0.0204400563389861,0.0731707317073171,0.0014956138784624,mark; punctuation; question; symbol; word,Red
U+2754,❔,white question mark ornament,2010,emoji,651876,0.00475965474775979,0.0,0.0,mark; outlined; punctuation; question; symbol; word,White
U+2755,❕,white exclamation mark ornament,2010,emoji,1611558,0.0117667465683509,0.285714285714286,0.00336192759095739,exclamation; mark; outlined; punctuation; symbol; word,White
U+2757,❗️,heavy exclamation mark symbol,2009,emoji,13271563,0.0969019535051808,0.101010101010101,0.00978807611163442,exclamation; mark; punctuation; symbol; word,Red
U+3030,〰️,wavy dash,1995,text,0,0.0,0.0,0.0,dash; punctuation; sound; symbol; wavy,Black
U+00A9,©️,copyright sign,1995,text,0,0.0,0.0,0.0,copyright; symbol; word,Black
U+00AE,®️,registered sign,1995,text,0,0.0,0.0,0.0,registered; symbol; word,Black
U+2122,™️,trade mark sign,1995,text,0,0.0,0.0,0.0,mark; symbol; tm; trademark; word,Black
U+2648,♈️,aries,1995,emoji,862365,0.00629653441229908,-1.0,0.0,aries; ram; symbol; time; zodiac,Purple
U+2649,♉️,taurus,1995,emoji,717859,0.00524142781383591,0.0,0.0,bull; ox; symbol; taurus; time; zodiac,Purple
U+264A,♊️,gemini,1995,emoji,736369,0.00537657807152454,0.0,0.0,gemini; symbol; time; twins; zodiac,Gray
U+264B,♋️,cancer,1995,emoji,1129388,0.00824619552838721,0.333333333333333,0.00274873184279574,cancer; crab; symbol; time; zodiac,Purple
U+264C,♌️,leo,1995,emoji,725694,0.00529863485159876,0.833333333333333,0.00441552904299897,leo; lion; symbol; time; zodiac,Gray
U+264D,♍️,virgo,1995,emoji,625698,0.00456851679823127,0.666666666666667,0.00304567786548751,maiden; symbol; time; virgin; virgo; zodiac,Gray
U+264E,♎️,libra,1995,emoji,630389,0.00460276800616306,-0.142857142857143,0.0,balance; justice; libra; scales; symbol; time; zodiac,Gray
U+264F,♏️,scorpius,1995,emoji,859383,0.00627476142102801,0.0,0.0,scorpio; scorpion; scorpius; symbol; time; zodiac,Purple
U+2650,♐️,sagittarius,1995,emoji,778133,0.005681516772881,0.0,0.0,archer; sagittarius; symbol; time; zodiac,Purple
U+2651,♑️,capricorn,1995,emoji,711259,0.00519323809472489,0.0,0.0,capricorn; goat; symbol; time; zodiac,Gray
U+2652,♒️,aquarius,1995,emoji,896268,0.00654407623760528,0.0,0.0,aquarius; bearer; symbol; time; water; zodiac,Gray
U+2653,♓️,pisces,1995,emoji,707923,0.00516888038215605,0.5,0.00258444019107802,fish; pisces; symbol; time; zodiac,Purple
U+26CE,⛎,ophiuchus,2010,emoji,143112,0.00104492834566911,0.0,0.0,bearer; ophiuchus; serpent; snake; symbol; zodiac,Gray
U+1F500,🔀,twisted rightwards arrows,2010,emoji,101074,0.000737989040822294,0.0,0.0,arrow; crossed; symbol,Gray
U+1F501,🔁,clockwise rightwards and leftwards open circle arrows,2010,emoji,1323760,0.0096653973591519,0.0,0.0,arrow; clockwise; repeat; symbol,Gray
U+1F502,🔂,clockwise rightwards and leftwards open circle arrows with circled one overlay,2010,emoji,248444,0.00181400705679061,0.0,0.0,arrow; clockwise; once; symbol,Gray
U+25B6,▶️,black right-pointing triangle,1995,text,31173223,0.227610433356842,0.213740458015267,0.0486495582747449,arrow; play; right; sound; symbol; triangle,Gray
U+23E9,⏩,black right-pointing double triangle,2010,emoji,3102687,0.02265418409385,0.166666666666667,0.00377569734897501,arrow; double; fast; forward; sound; symbol,Gray
U+25C0,◀️,black left-pointing triangle,1995,text,15315619,0.111826572366877,0.304347826086957,0.0340341741986147,arrow; left; reverse; sound; symbol; triangle,Gray
U+23EA,⏪,black left-pointing double triangle,2010,emoji,1072755,0.0078326912310517,0.5,0.00391634561552585,arrow; double; rewind; sound; symbol,Gray
U+1F53C,🔼,up-pointing small red triangle,2010,emoji,530827,0.00387581879190074,0.0,0.0,arrow; button; red; symbol,Gray
U+23EB,⏫,black up-pointing double triangle,2010,emoji,366507,0.00267604081548822,0.0,0.0,arrow; double; sound; symbol,Gray
U+1F53D,🔽,down-pointing small red triangle,2010,emoji,294856,0.00215288300275737,0.0,0.0,arrow; button; down; red; symbol,Gray
U+23EC,⏬,black down-pointing double triangle,2010,emoji,309393,0.00225902450983568,1.0,0.00225902450983568,arrow; double; down; sound; symbol,Gray
U+1F3A6,🎦,cinema,2010,emoji,310007,0.00226350761400753,0.0,0.0,activity; camera; cinema; entertainment; film; movie; object; symbol,Gray
U+1F505,🔅,low brightness symbol,2010,emoji,384824,0.00280978188896648,1.0,0.00280978188896648,brightness; dim; low; sign; symbol,Orange
U+1F506,🔆,high brightness symbol,2010,emoji,1231438,0.00899131080645986,0.647058823529412,0.0058179069924152,bright; brightness; sign; symbol,Orange
U+1F4F6,📶,antenna with bars,2010,emoji,424298,0.00309800021808593,0.4,0.00123920008723437,antenna; bar; cell; communication; mobile; object; phone; signal; symbol; telephone,Gray
U+1F4F5,📵,no mobile phones,2010,emoji,247862,0.00180975759974173,0.166666666666667,0.000301626266623621,cell; communication; forbidden; mobile; no; not; object; phone; prohibited; symbol; telephone,Brown
U+1F4F3,📳,vibration mode,2010,emoji,214859,0.00156878709976885,0.0,0.0,cell; communication; mobile; mode; object; phone; symbol; telephone; vibration,Orange
U+1F4F4,📴,mobile phone off,2010,emoji,653448,0.00477113266267533,0.8,0.00381690613014026,cell; communication; mobile; object; off; phone; symbol; telephone,Orange
U+0023 U+20E3,#️⃣,keycap number sign,2000,text,458005,0.00334411095476398,0.0,0.0,hash; keycap; pound; symbol; word,Gray
U+0030 U+20E3,0️⃣,keycap digit zero,2000,text,1389489,0.0101453158511895,0.0,0.0,0; keycap; symbol; word; zero,Gray
U+0031 U+20E3,1️⃣,keycap digit one,2000,text,5784902,0.0422383034037534,0.0,0.0,1; keycap; one; symbol; word,Gray
U+0032 U+20E3,2️⃣,keycap digit two,2000,text,5086262,0.0371372025916742,0.0,0.0,2; keycap; symbol; two; word,Gray
U+0033 U+20E3,3️⃣,keycap digit three,2000,text,3673292,0.0268204408625384,0.0,0.0,3; keycap; symbol; three; word,Gray
U+0034 U+20E3,4️⃣,keycap digit four,2000,text,2519654,0.0183971846237811,0.0,0.0,4; four; keycap; symbol; word,Gray
U+0035 U+20E3,5️⃣,keycap digit five,2000,text,2306542,0.0168411531966315,0.0,0.0,5; five; keycap; symbol; word,Gray
U+0036 U+20E3,6️⃣,keycap digit six,2000,text,1127749,0.00823422841480797,0.0,0.0,6; keycap; six; symbol; word,Gray
U+0037 U+20E3,7️⃣,keycap digit seven,2000,text,981849,0.00716894356355075,0.0,0.0,7; keycap; seven; symbol; word,Gray
U+0038 U+20E3,8️⃣,keycap digit eight,2000,text,593893,0.00433629346242431,0.0,0.0,8; eight; keycap; symbol; word,Gray
U+0039 U+20E3,9️⃣,keycap digit nine,2000,text,583474,0.00426021941948223,0.0,0.0,9; keycap; nine; symbol; word,Gray
U+1F51F,🔟,keycap ten,2010,emoji,467570,0.003413949540112,1.0,0.003413949540112,10; keycap; symbol; ten; word,Gray
U+1F4AF,💯,hundred points symbol,2010,emoji,90789200,0.662894855502141,0.120879120879121,0.0801301473683907,100; full; hundred; office; score; symbol,Brown
U+1F51E,🔞,no one under eighteen symbol,2010,emoji,15585169,0.113794684304206,-0.0434782608695652,0.0,18; age restriction; eighteen; forbidden; no; not; prohibited; symbol; underage; word,Brown
U+1F520,🔠,input symbol for latin capital letters,2010,emoji,71789,0.000524165415948628,0.0,0.0,input; latin; letters; symbol; uppercase; word,Gray
U+1F521,🔡,input symbol for latin small letters,2010,emoji,55374,0.00040431174334145,0.0,0.0,abcd; input; latin; letters; lowercase; symbol; word,Gray
U+1F522,🔢,input symbol for numbers,2010,emoji,151153,0.00110363948678604,0.0,0.0,1234; input; numbers; symbol; word,Gray
U+1F523,🔣,input symbol for symbols,2010,emoji,62406,0.000455655698612463,0.333333333333333,0.000151885232870821,input; symbol; word,Gray
U+1F524,🔤,input symbol for latin letters,2010,emoji,86557,0.000631993563195829,0.0,0.0,abc; alphabet; input; latin; letters; symbol; word,Gray
U+1F170,🅰️,negative squared latin capital letter a,2010,text,0,0.0,0.333333333333333,0.0,a; blood; symbol; word,Red
U+1F18E,🆎,negative squared ab,2010,emoji,196947,0.00143800312269059,0.0,0.0,ab; blood; symbol; word,Red
U+1F171,🅱️,negative squared latin capital letter b,2010,text,0,0.0,0.0,0.0,b; blood; symbol; word,Red
U+1F191,🆑,squared cl,2010,emoji,169220,0.00123555519211616,0.0,0.0,cl; symbol; word,Red
U+1F192,🆒,squared cool,2010,emoji,3150544,0.0230036106677131,0.421052631578947,0.00968573080745814,cool; symbol; word,Gray
U+1F193,🆓,squared free,2010,emoji,1488725,0.0108698847853866,0.25,0.00271747119634666,free; symbol; word,Gray
U+2139,ℹ️,information source,2000,text,532240,0.00388613577267406,0.0,0.0,i; information; symbol; word,Gray
U+1F194,🆔,squared id,2010,emoji,713723,0.00521122892319301,0.923076923076923,0.00481036515987047,id; identity; symbol; word,Gray
U+24C2,Ⓜ️,circled latin capital letter m,1995,text,1036693,0.00756938552641813,0.4,0.00302775421056725,circle; m; place; symbol; word,Cyan
U+1F195,🆕,squared new,2010,emoji,1763533,0.012876387865608,0.0,0.0,new; symbol; word,Gray
U+1F196,🆖,squared ng,2010,emoji,302028,0.00220524916419134,0.25,0.000551312291047836,ng; symbol; word,Gray
U+1F17E,🅾️,negative squared latin capital letter o,2010,text,0,0.0,-0.2,0.0,blood; o; symbol; word,Red
U+1F197,🆗,squared ok,2010,emoji,7476047,0.0545861522713298,0.578947368421053,0.0316025092097172,ok; symbol; word,Gray
U+1F17F,🅿️,negative squared latin capital letter p,2009,text,413489,0.00301907860083275,0.0,0.0,parking; place; sign; symbol; word,Gray
U+1F198,🆘,squared sos,2010,emoji,3149666,0.0229971999747768,0.0909090909090909,0.00209065454316153,help; sos; symbol; word,Red
U+1F199,🆙,squared up with exclamation mark,2010,emoji,1739926,0.012704022002115,0.5,0.00635201100105749,mark; symbol; up; word,Gray
U+1F19A,🆚,squared vs,2010,emoji,447918,0.00327046100072264,0.0,0.0,symbol; versus; vs; word,Orange
U+1F201,🈁,squared katakana koko,2010,emoji,45505,0.000332253510325291,0.0,0.0,japanese; symbol; word,Gray
U+1F202,🈂️,squared katakana sa,2010,text,0,0.0,-1.0,0.0,japanese; symbol; word,Gray
U+1F237,🈷️,squared cjk unified ideograph-6708,2010,text,0,0.0,0.0,0.0,japanese; symbol; word,Orange
U+1F236,🈶,squared cjk unified ideograph-6709,2010,emoji,164295,0.00119959543959771,0.0,0.0,japanese; symbol; word,Orange
U+1F22F,🈯️,squared cjk unified ideograph-6307,2009,emoji,251604,0.00183707971018316,0.0,0.0,japanese; symbol; word,Green
U+1F250,🉐,circled ideograph advantage,2010,emoji,302555,0.00220909704024763,1.0,0.00220909704024763,japanese; symbol; word,Red
U+1F239,🈹,squared cjk unified ideograph-5272,2010,emoji,1662397,0.012137946133485,0.333333333333333,0.00404598204449499,japanese; symbol; word,Gray
U+1F21A,🈚️,squared cjk unified ideograph-7121,2009,emoji,162009,0.00118290427325107,0.0,0.0,japanese; symbol; word,Orange
U+1F232,🈲,squared cjk unified ideograph-7981,2010,emoji,154022,0.00112458741165415,0.0,0.0,japanese; symbol; word,Red
U+1F251,🉑,circled ideograph accept,2010,emoji,124803,0.000911245683971592,0.0,0.0,chinese; symbol; word,Orange
U+1F238,🈸,squared cjk unified ideograph-7533,2010,emoji,163547,0.00119413393809846,0.0,0.0,chinese; symbol; word,Orange
U+1F234,🈴,squared cjk unified ideograph-5408,2010,emoji,133313,0.000973381215734437,0.0,0.0,chinese; symbol; word,Red
U+1F233,🈳,squared cjk unified ideograph-7a7a,2010,emoji,223110,0.00162903155013022,0.0,0.0,chinese; symbol; word,Blue
U+3297,㊗️,circled ideograph congratulation,1995,text,631372,0.00460994535372156,0.0,0.0,chinese; congratulation; congratulations; ideograph; symbol; word,Red
U+3299,㊙️,circled ideograph secret,1995,text,673718,0.0049191335121269,0.0,0.0,chinese; ideograph; secret; symbol; word,Red
U+1F23A,🈺,squared cjk unified ideograph-55b6,2010,emoji,168172,0.00122790324883914,0.0,0.0,chinese; symbol; word,Orange
U+1F235,🈵,squared cjk unified ideograph-6e80,2010,emoji,151055,0.00110292394247197,0.0,0.0,chinese; symbol; word,Red
U+25AA,▪️,black small square,1995,text,4583536,0.0334665624810975,0.20125786163522,0.00673540880122718,geometric; sign; square; symbol,Black
U+25AB,▫️,white small square,1995,text,442341,0.00322974068807383,1.0,0.00322974068807383,geometric; sign; square; symbol,White
U+25FB,◻️,white medium square,2002,text,319244,0.00233095131634518,0.0,0.0,geometric; sign; square; symbol,White
U+25FC,◼️,black medium square,2002,text,434489,0.0031724095252769,0.0,0.0,geometric; sign; square; symbol,Black
U+25FD,◽️,white medium small square,2002,emoji,172643,0.00126054813280055,0.0,0.0,geometric; sign; square; symbol,White
U+25FE,◾️,black medium small square,2002,emoji,531174,0.00387835240289037,0.0,0.0,geometric; sign; square; symbol,Black
U+2B1B,⬛️,black large square,2008,emoji,254360,0.0018572025686483,-0.333333333333333,0.0,geometric; sign; square; symbol,Black
U+2B1C,⬜️,white large square,2008,emoji,345132,0.00251997183882185,0.0,0.0,geometric; sign; square; symbol,White
U+1F536,🔶,large orange diamond,2010,emoji,801172,0.00584973539994142,0.4,0.00233989415997657,diamond; geometric; orange; sign; symbol,Orange
U+1F537,🔷,large blue diamond,2010,emoji,841613,0.00614501425305789,0.222222222222222,0.00136555872290175,blue; diamond; geometric; sign; symbol,Gray
U+1F538,🔸,small orange diamond,2010,emoji,5758598,0.0420462454686782,0.285714285714286,0.0120132129910509,diamond; geometric; orange; sign; symbol,Orange
U+1F539,🔹,small blue diamond,2010,emoji,1920157,0.014019973708948,0.166666666666667,0.00233666228482467,blue; diamond; geometric; sign; symbol,Gray
U+1F53A,🔺,up-pointing red triangle,2010,emoji,1001224,0.00731040959503196,0.333333333333333,0.00243680319834399,geometric; red; sign; symbol,Brown
U+1F53B,🔻,down-pointing red triangle,2010,emoji,1153062,0.00841905059054391,1.0,0.00841905059054391,down; geometric; red; sign; symbol,Brown
U+1F4A0,💠,diamond shape with a dot inside,2010,emoji,1006339,0.007347756627343,0.0,0.0,comic; diamond; geometric; inside; sign; symbol,Cyan
U+1F518,🔘,radio button,2010,emoji,1396576,0.0101970613874531,0.25,0.00254926534686328,button; geometric; radio; sign; symbol,Gray
U+1F532,🔲,black square button,2010,emoji,699477,0.00510721214463913,0.75,0.00383040910847935,button; geometric; sign; square; symbol,Gray
U+1F533,🔳,white square button,2010,emoji,355046,0.00259235863810468,0.5,0.00129617931905234,button; geometric; outlined; sign; square; symbol,Gray
U+26AA,⚪️,medium white circle,2005,emoji,2245925,0.0163985598324872,0.486486486486487,0.00797767775634512,circle; geometric; sign; symbol,White
U+26AB,⚫️,medium black circle,2005,emoji,2269567,0.0165711812475209,0.285714285714286,0.00473462321357741,circle; geometric; sign; symbol,Gray
U+1F534,🔴,large red circle,2010,emoji,21162204,0.154515252504558,0.422222222222222,0.0652397732797023,circle; geometric; red; sign; symbol,Red
U+1F535,🔵,large blue circle,2010,emoji,2427452,0.0177239742478002,0.333333333333333,0.0059079914159334,blue; circle; geometric; sign; symbol,Gray
U+1F1E8 U+1F1F3,🇨🇳,flag for China,2010,emoji,194085,0.00141710630813063,0.0,0.0,china; flag; other,Brown
U+1F1E9 U+1F1EA,🇩🇪,flag for Germany,2010,emoji,1096453,0.00800572152855063,0.0,0.0,flag; germany; other,Brown
U+1F1EA U+1F1F8,🇪🇸,flag for Spain,2010,emoji,1230016,0.00898092811243321,0.0,0.0,flag; other; spain,Red
U+1F1EB U+1F1F7,🇫🇷,flag for France,2010,emoji,3074483,0.022448253360849,0.0,0.0,flag; france; other,Gray
U+1F1EC U+1F1E7,🇬🇧,flag for United Kingdom,2010,emoji,2225603,0.0162501793064608,0.0,0.0,britain; british; cornwall; england; flag; great britain; ireland; northern ireland; other; scotland; uk; union jack; united; united kingdom; wales,Gray
U+1F1EE U+1F1F9,🇮🇹,flag for Italy,2010,emoji,2425215,0.0177076408536106,0.0,0.0,flag; italy; other,Gray
U+1F1EF U+1F1F5,🇯🇵,flag for Japan,2010,emoji,730948,0.00533699678860017,0.0,0.0,flag; japan; other,White
U+1F1F0 U+1F1F7,🇰🇷,flag for South Korea,2010,emoji,313880,0.00229178621735858,0.0,0.0,flag; korea; other; south; south korea,Gray
U+1F1F7 U+1F1FA,🇷🇺,flag for Russia,2010,emoji,593459,0.00433312462331913,0.0,0.0,flag; other; russia,Gray
U+1F1FA U+1F1F8,🇺🇸,flag for United States,2010,emoji,7069622,0.051618651272891,0.0,0.0,america; flag; other; stars and stripes; united; united states,Gray
