Unicode,EmojiGlyph,Description,Year,Nature,UsageNumber,UsagePercentage,Sentiment,AverageSentiment,Annotations,Color
U+1F3BE,🎾,tennis racquet and ball,2010,emoji,1699510,0.0124089256858133,0.619047619047619,0.00768171590074159,ball; object; place; racquet; sport; tennis,Yellow
U+1F3B1,🎱,billiards,2010,emoji,905552,0.00661186310915477,0.333333333333333,0.00220395436971826,8; 8 ball; ball; billiard; eight; game; object; place; sport,Gray
U+1F3B3,🎳,bowling,2010,emoji,675555,0.00493254631727946,-0.5,0.0,ball; bowling; game; object; place; sport,Gray
U+26F3,⛳️,flag in hole,2009,emoji,1543172,0.0112674280636348,0.875,0.00985899955568042,flag; golf; hole; object; place; sport; travel,Green
U+1F3A3,🎣,fishing pole and fish,2010,emoji,1413053,0.010317367751361,-0.666666666666667,0.0,entertainment; fish; object; place; pole; sport,Gray
U+1F3BD,🎽,running shirt with sash,2010,emoji,324089,0.00236632695105622,0.555555555555556,0.00131462608392012,person; place; running; sash; shirt; sport,Cyan
U+1F3BF,🎿,ski and ski boot,2010,emoji,459484,0.0033549098327284,0.461538461538462,0.00154841992279773,object; ski; snow; sport,Cyan
U+1F3C2,🏂,snowboarder,2010,emoji,1053502,0.00769211597922678,0.5,0.00384605798961339,person; ski; snow; snowboard; sport,White
U+1F3C4,🏄,surfer,2010,emoji,1559064,0.011383463066076,0.564102564102564,0.00642144070394032,person; sport; surfer; surfing,Gray
U+1F3C7,🏇,horse racing,2010,emoji,539586,0.00393977239033914,-0.142857142857143,0.0,horse; jockey; person; racehorse; racing; sport; travel,Gray
U+1F3CA,🏊,swimmer,2010,emoji,3105548,0.0226750736069374,0.597402597402597,0.0135461478690795,person; sport; swim; swimmer; travel,Cyan
U+1F6B4,🚴,bicyclist,2010,emoji,686519,0.0050125996627845,0.71875,0.00360280600762636,bicycle; bicyclist; bike; cyclist; person; place; sport; travel,Gray
U+1F6B5,🚵,mountain bicyclist,2010,emoji,182900,0.00133543933718263,0.428571428571429,0.000572331144506843,bicycle; bicyclist; bike; cyclist; mountain; person; place; sport; travel,Gray
U+1F3C6,🏆,trophy,2010,emoji,7462369,0.0544862827292085,0.737113402061856,0.040162569228231,object; place; prize; sport; trophy,Gray
U+1F3AF,🎯,direct hit,2010,emoji,2337252,0.0170653814199496,0.666666666666667,0.0113769209466331,activity; bull; bullseye; dart; entertainment; eye; game; hit; object; target,Gray
U+1F3AE,🎮,video game,2010,emoji,4228296,0.0308727873573099,0.441860465116279,0.0136414641811369,controller; entertainment; game; object; video game,Black
U+1F3B2,🎲,game die,2010,emoji,881879,0.00643901534847066,0.0,0.0,dice; die; entertainment; game; object,White
U+2660,♠️,black spade suit,1995,text,6254595,0.0456677539701794,0.35,0.0159837138895628,card; game; spade; suit; symbol,Black
U+2665,♥️,black heart suit,1995,text,589802759,4.30642867986577,0.657614781634938,2.83197115593636,card; emotion; game; heart; hearts; suit; symbol,Red
U+2666,♦️,black diamond suit,1995,text,6523761,0.0476330621420334,0.475409836065574,0.0226452262642454,card; diamond; diamonds; game; suit; symbol,Red
U+2663,♣️,black club suit,1995,text,12496132,0.0912401653112449,0.371428571428571,0.0338892042584624,card; club; clubs; game; suit; symbol,Black
U+1F0CF,🃏,playing card black joker,2010,emoji,582178,0.00425075671100225,0.111111111111111,0.000472306301222472,card; entertainment; game; joker; object; playing,White
U+1F004,🀄️,mahjong tile red dragon,2008,emoji,158319,0.00115596183938446,1.0,0.00115596183938446,game; mahjong; object; red,White
U+1F3B4,🎴,flower playing cards,2010,emoji,183845,0.00134233922878262,0.0,0.0,activity; card; entertainment; flower; game; japanese; object; playing,Brown
U+1F507,🔇,speaker with cancellation stroke,2010,emoji,322613,0.00235554997750957,1.0,0.00235554997750957,mute; object; quiet; silent; sound; speaker; volume,Gray
U+1F508,🔈,speaker,2010,emoji,155748,0.00113718975334894,0.333333333333333,0.000379063251116313,object; sound; speaker; volume,Gray
U+1F509,🔉,speaker with one sound wave,2010,emoji,154181,0.00112574834579637,0.666666666666667,0.000750498897197578,low; object; sound; speaker; volume; wave,Gray
U+1F50A,🔊,speaker with three sound waves,2010,emoji,3364086,0.0245627817280775,0.428571428571429,0.0105269064548904,3; entertainment; high; loud; object; sound; speaker; three; volume,Gray
U+1F4E2,📢,public address loudspeaker,2010,emoji,3030175,0.022124739713217,0.5,0.0110623698566085,communication; loud; loudspeaker; object; public address; sound,Orange
U+1F4E3,📣,cheering megaphone,2010,emoji,1471166,0.0107416782281335,0.5,0.00537083911406677,cheering; communication; megaphone; object; sound,Orange
U+1F4EF,📯,postal horn,2010,emoji,129946,0.000948797157515224,-0.2,0.0,communication; entertainment; horn; object; post; postal; sound,Orange
U+1F514,🔔,bell,2010,emoji,728748,0.0053209335488965,1.0,0.0053209335488965,bell; object; sound,Orange
U+1F515,🔕,bell with cancellation stroke,2010,emoji,352106,0.0025708923086825,-0.333333333333333,0.0,bell; forbidden; mute; no; not; object; prohibited; quiet; silent; sound,Red
U+1F3BC,🎼,musical score,2010,emoji,5769721,0.0421274597483254,0.346938775510204,0.0146156493004394,activity; entertainment; music; object; score; sound,Black
U+1F3B5,🎵,musical note,2010,emoji,24850662,0.181446427500436,0.506726457399103,0.0919437054150189,activity; entertainment; music; note; object; sound,Gray
U+1F3B6,🎶,multiple musical notes,2010,emoji,116930423,0.853764278773127,0.53922967189729,0.460375031920459,activity; entertainment; music; note; notes; object; sound,Black
U+1F3A4,🎤,microphone,2010,emoji,14170599,0.103466240218922,0.486111111111111,0.0502960889953094,activity; entertainment; karaoke; mic; microphone; object; sound,Black
U+1F3A7,🎧,headphone,2010,emoji,30833325,0.22512867742557,0.422535211267606,0.0951247932784098,activity; earbud; entertainment; headphone; object; sound,Gray
U+1F3B7,🎷,saxophone,2010,emoji,706346,0.00515736595987755,0.785714285714286,0.00405221611133236,activity; entertainment; instrument; music; object; sax; saxophone; sound,Orange
U+1F3B8,🎸,guitar,2010,emoji,6564712,0.0479320647461721,0.528,0.0253081301859789,activity; entertainment; guitar; instrument; music; object; sound,Red
U+1F3B9,🎹,musical keyboard,2010,emoji,951508,0.00694740958361932,0.392857142857143,0.00272933947927902,activity; entertainment; instrument; keyboard; music; object; piano; sound,Gray
U+1F3BA,🎺,trumpet,2010,emoji,692884,0.00505907353583626,0.777777777777778,0.00393483497231709,activity; entertainment; instrument; music; object; sound; trumpet,Orange
U+1F3BB,🎻,violin,2010,emoji,606717,0.00442992754695154,0.444444444444444,0.00196885668753402,activity; entertainment; instrument; music; object; sound; violin,Brown
U+1F4FB,📻,radio,2010,emoji,1064169,0.00777000078737182,0.4,0.00310800031494873,entertainment; object; radio; video,Gray
U+1F4F1,📱,mobile phone,2010,emoji,5265616,0.0384467509070436,0.326530612244898,0.012554041112504,cell; communication; mobile; object; phone; telephone,Gray
U+1F4F2,📲,mobile phone with rightwards arrow at left,2010,emoji,5039101,0.0367928578427356,0.255813953488372,0.00941212642488586,arrow; call; cell; communication; mobile; object; phone; receive; telephone,Gray
U+260E,☎️,black telephone,1995,text,8088965,0.0590613562498279,0.0,0.0,object; office; phone; sound; telephone,Brown
U+1F4DE,📞,telephone receiver,2010,emoji,2663665,0.019448676993311,0.571428571428571,0.0111135297104634,communication; object; phone; receiver; sound; telephone,Gray
U+1F4DF,📟,pager,2010,emoji,132768,0.000969401913171481,0.0,0.0,communication; object; office; pager,Gray
U+1F4E0,📠,fax machine,2010,emoji,170236,0.00124297348827022,0.0,0.0,communication; fax; object; office,White
U+1F50B,🔋,battery,2010,emoji,1874805,0.0136888373239294,-0.529411764705882,0.0,battery; object,Green
U+1F50C,🔌,electric plug,2010,emoji,1392339,0.0101661250480784,-0.125,0.0,electric; electricity; object; plug,Black
U+1F4BB,💻,personal computer,2010,emoji,2859036,0.0208751729951957,0.28,0.00584504843865479,computer; object; office; pc; personal,Gray
U+1F4BD,💽,minidisc,2010,emoji,471954,0.00344595919595786,0.0,0.0,computer; disk; entertainment; minidisk; object; office; optical,Gray
U+1F4BE,💾,floppy disk,2010,emoji,162244,0.00118462011931033,0.0,0.0,computer; disk; floppy; object; office,Gray
U+1F4BF,💿,optical disc,2010,emoji,4480928,0.0327173729813182,0.666666666666667,0.0218115819875455,blu-ray; cd; computer; disk; dvd; object; office; optical,White
U+1F4C0,📀,dvd,2010,emoji,920906,0.00672396991934123,0.125,0.000840496239917653,blu-ray; cd; computer; disk; dvd; entertainment; object; office; optical,White
U+1F3A5,🎥,movie camera,2010,emoji,11420755,0.0833883296190555,0.303030303030303,0.0252691907936532,activity; camera; cinema; entertainment; movie; object,Black
U+1F3AC,🎬,clapper board,2010,emoji,5212650,0.0380600211097051,0.3,0.0114180063329115,activity; clapper; entertainment; movie; object,Gray
U+1F4FA,📺,television,2010,emoji,3879157,0.0283235585178096,0.405405405405405,0.0114825237234363,entertainment; object; television; tv; video,Gray
U+1F4F7,📷,camera,2010,emoji,33598298,0.24531705200429,0.447368421052632,0.109747102212445,camera; entertainment; object; video,Gray
U+1F4F9,📹,video camera,2010,emoji,3214062,0.0234673856038485,0.545454545454545,0.0128003921475537,camera; entertainment; object; video,Gray
U+1F4FC,📼,videocassette,2010,emoji,343183,0.00250574126873892,1.0,0.00250574126873892,entertainment; object; tape; vhs; video; videocassette,Gray
U+1F50D,🔍,left-pointing magnifying glass,2010,emoji,384430,0.00280690510876501,0.0,0.0,glass; magnifying; object; search; tool,Gray
U+1F50E,🔎,right-pointing magnifying glass,2010,emoji,387707,0.00283083203445089,0.75,0.00212312402583817,glass; magnifying; object; search; tool,Gray
U+1F52C,🔬,microscope,2010,emoji,185573,0.0013549561734226,1.0,0.0013549561734226,microscope; object; tool,Gray
U+1F52D,🔭,telescope,2010,emoji,318386,0.00232468665286074,0.5,0.00116234332643037,object; telescope; tool,Gray
U+1F4E1,📡,satellite antenna,2010,emoji,366748,0.00267780047038303,0.333333333333333,0.000892600156794344,antenna; communication; dish; object; office; satellite,Gray
U+1F4A1,💡,electric light bulb,2010,emoji,2408117,0.0175828002752227,0.75,0.013187100206417,bulb; comic; electric; idea; light; object,White
U+1F526,🔦,electric torch,2010,emoji,494265,0.00360886235097088,0.0,0.0,electric; flashlight; light; object; tool; torch,Gray
U+1F3EE,🏮,izakaya lantern,2010,emoji,258289,0.00188589005446454,0.0,0.0,bar; japanese; lantern; light; place; red,Brown
U+1F4D4,📔,notebook with decorative cover,2010,emoji,147964,0.00108035509068831,1.0,0.00108035509068831,book; cover; decorated; education; notebook; object; office,Orange
U+1F4D5,📕,closed book,2010,emoji,5173312,0.0377727957808582,0.25,0.00944319894521455,book; closed; education; object; office,Brown
U+1F4D6,📖,open book,2010,emoji,2754976,0.0201153817572119,0.176470588235294,0.00354977325127269,book; education; object; office; open,Gray
U+1F4D7,📗,green book,2010,emoji,281004,0.00205174300440497,0.2,0.000410348600880994,book; education; green; object; office,Green
U+1F4D8,📘,blue book,2010,emoji,330020,0.0024096319850028,0.25,0.000602407996250701,blue; book; education; object; office,Gray
U+1F4D9,📙,orange book,2010,emoji,154926,0.00113118794287784,0.333333333333333,0.000377062647625946,book; education; object; office; orange,Orange
U+1F4DA,📚,books,2010,emoji,3340441,0.024390138408626,0.34453781512605,0.00840332499792996,book; books; education; object; office,Gray
U+1F4D3,📓,notebook,2010,emoji,469634,0.00342901977954308,0.25,0.000857254944885769,notebook; object; office,Gray
U+1F4D2,📒,ledger,2010,emoji,406334,0.00296683656443285,0.0392156862745098,0.000116346531938543,ledger; notebook; object; office,Orange
U+1F4C3,📃,page with curl,2010,emoji,178554,0.00130370713729529,0.571428571428571,0.000744975507025878,curl; document; object; office; page,White
U+1F4DC,📜,scroll,2010,emoji,250142,0.00182640495725281,1.0,0.00182640495725281,object; office; paper; scroll,White
U+1F4C4,📄,page facing up,2010,emoji,222158,0.00162208054822209,1.0,0.00162208054822209,document; object; office; page,White
U+1F4F0,📰,newspaper,2010,emoji,431326,0.00314931496746658,0.4,0.00125972598698663,communication; news; newspaper; object; paper,White
U+1F4D1,📑,bookmark tabs,2010,emoji,182694,0.00133393523382856,1.0,0.00133393523382856,bookmark; mark; marker; object; office; tabs,White
U+1F516,🔖,bookmark,2010,emoji,180807,0.00132015735504637,1.0,0.00132015735504637,bookmark; mark; object,White
U+1F4B0,💰,money bag,2010,emoji,10539271,0.0769521983522589,0.255952380952381,0.0196960983877805,bag; dollar; money; moneybag; object; office,Orange
U+1F4B4,💴,banknote with yen sign,2010,emoji,356475,0.00260279244243947,-0.25,0.0,bank; banknote; bill; currency; money; note; object; office; yen,Gray
U+1F4B5,💵,banknote with dollar sign,2010,emoji,2969490,0.0216816498489363,0.423076923076923,0.00917300570531922,bank; banknote; bill; currency; dollar; money; note; object; office,Gray
U+1F4B6,💶,banknote with euro sign,2010,emoji,397411,0.00290168552448927,0.0,0.0,bank; banknote; bill; currency; euro; money; note; object; office,White
U+1F4B7,💷,banknote with pound sign,2010,emoji,522318,0.00381369056161049,0.571428571428571,0.00217925174949171,bank; banknote; bill; currency; money; note; object; office; pound,Gray
U+1F4B8,💸,money with wings,2010,emoji,8657015,0.0632089577560422,0.166666666666667,0.0105348262926737,bank; banknote; bill; dollar; fly; money; note; object; office; wings,White
U+1F4B3,💳,credit card,2010,emoji,693936,0.00506675468500365,0.5,0.00253337734250183,bank; card; credit; money; object; office,White
U+1F4B9,💹,chart with upwards trend and yen sign,2010,emoji,162762,0.00118840228211328,0.0,0.0,bank; chart; currency; graph; growth; market; money; object; office; rise; symbol; trend; upward; yen,Green
U+2709,✉️,envelope,1995,text,2289519,0.0167168602286881,0.333333333333333,0.00557228674289602,e-mail; email; envelope; object; office,White
U+1F4E7,📧,e-mail symbol,2010,emoji,255409,0.00186486181339792,0.0,0.0,communication; e-mail; email; letter; mail; object; office,White
U+1F4E8,📨,incoming envelope,2010,emoji,135522,0.000989510168691443,0.0,0.0,communication; e-mail; email; envelope; incoming; letter; mail; object; office; receive,White
U+1F4E9,📩,envelope with downwards arrow above,2010,emoji,683087,0.00498754100884677,0.0,0.0,arrow; communication; down; e-mail; email; envelope; letter; mail; object; office; outgoing; sent,White
U+1F4E4,📤,outbox tray,2010,emoji,98121,0.000716427792256409,0.0,0.0,box; communication; letter; mail; object; office; outbox; sent; tray,White
U+1F4E5,📥,inbox tray,2010,emoji,252508,0.00184368024140685,0.0,0.0,box; communication; inbox; letter; mail; object; office; receive; tray,White
U+1F4E6,📦,package,2010,emoji,564896,0.0041245726616573,0.25,0.00103114316541433,box; communication; object; office; package; parcel,Gray
U+1F4EB,📫,closed mailbox with raised flag,2010,emoji,108874,0.000794940527044407,1.0,0.000794940527044407,closed; communication; flag; mail; mailbox; object; office; postbox,Gray
U+1F4EA,📪,closed mailbox with lowered flag,2010,emoji,79016,0.000576933158375194,0.0,0.0,closed; communication; flag; lowered; mail; mailbox; object; office; postbox,Gray
U+1F4EC,📬,open mailbox with raised flag,2010,emoji,257889,0.00188296946542751,0.0,0.0,communication; flag; mail; mailbox; object; office; open; postbox,Gray
U+1F4ED,📭,open mailbox with lowered flag,2010,emoji,59484,0.000434320795696948,0.0,0.0,communication; flag; lowered; mail; mailbox; object; office; open; postbox,Gray
U+1F4EE,📮,postbox,2010,emoji,275126,0.00200882494850579,-1.0,0.0,communication; mail; mailbox; object; office; postbox,Brown
U+270F,✏️,pencil,1995,text,2753454,0.020104268915926,0.371428571428571,0.00746729988305824,object; office; pencil,Orange
U+2712,✒️,black nib,1995,text,1014402,0.00740662840085696,0.3,0.00222198852025709,nib; object; office; pen,Gray
U+1F4DD,📝,memo,2010,emoji,3439520,0.0251135610116261,0.241935483870968,0.00607586153507083,communication; memo; object; office; pencil,White
U+1F4BC,💼,briefcase,2010,emoji,503615,0.00367713111971149,0.642857142857143,0.00236387000552882,briefcase; object; office; person,Gray
U+1F4C1,📁,file folder,2010,emoji,100077,0.000730709472647493,0.0,0.0,file; folder; object; office,White
U+1F4C2,📂,open file folder,2010,emoji,102662,0.000749583779299309,0.0,0.0,file; folder; object; office; open,Gray
U+1F4C5,📅,calendar,2010,emoji,553150,0.00403880956458488,0.222222222222222,0.000897513236574417,calendar; date; object; office,Gray
U+1F4C6,📆,tear-off calendar,2010,emoji,482652,0.00352407034975327,1.0,0.00352407034975327,calendar; object; office,Gray
U+1F4C7,📇,card index,2010,emoji,98379,0.000718311572185294,0.0,0.0,card; index; object; office; rolodex,Gray
U+1F4C8,📈,chart with upwards trend,2010,emoji,363696,0.00265551637603048,0.5,0.00132775818801524,chart; graph; growth; object; office; trend; upward,White
U+1F4C9,📉,chart with downwards trend,2010,emoji,236846,0.00172932457766188,0.5,0.00086466228883094,chart; down; graph; object; office; trend,White
U+1F4CA,📊,bar chart,2010,emoji,184271,0.00134544965610706,0.0,0.0,bar; chart; graph; object; office,White
U+1F4CB,📋,clipboard,2010,emoji,253406,0.00185023696379498,0.666666666666667,0.00123349130919666,clipboard; object; office,White
U+1F4CC,📌,pushpin,2010,emoji,1092960,0.00798021748478475,-0.571428571428571,0.0,object; office; pin; pushpin,Brown
U+1F4CD,📍,round pushpin,2010,emoji,1451186,0.0105957948057338,0.166666666666667,0.00176596580095564,object; office; pin; place; pushpin,Brown
U+1F4CE,📎,paperclip,2010,emoji,283124,0.00206722212630124,1.0,0.00206722212630124,object; office; paperclip,Gray
U+1F4CF,📏,straight ruler,2010,emoji,135646,0.000990415551292922,0.0,0.0,object; office; ruler; straight edge,Gray
U+1F4D0,📐,triangular ruler,2010,emoji,147893,0.00107983668613423,0.0,0.0,object; office; ruler; set; triangle,Gray
U+2702,✂️,black scissors,1995,text,3311456,0.0241785052255301,-0.482758620689655,0.0,object; office; scissors; tool,Gray
U+1F512,🔒,lock,2010,emoji,1244543,0.0090869966047856,0.210526315789474,0.00191305191679697,closed; lock; object,Orange
U+1F513,🔓,open lock,2010,emoji,962750,0.00702949273850509,0.111111111111111,0.000781054748722788,lock; object; open; unlock,Orange
U+1F50F,🔏,lock with ink pen,2010,emoji,118289,0.000863683891503535,0.0,0.0,ink; lock; nib; object; pen; privacy,Gray
